"","x","y","series"
"1",1995,-1.31123934012057,"Trend"
"2",1995.08333333333,-1.28350296970545,"Trend"
"3",1995.16666666667,-1.25576659929032,"Trend"
"4",1995.25,-1.22803022887519,"Trend"
"5",1995.33333333333,-1.20029385846006,"Trend"
"6",1995.41666666667,-1.17255748804493,"Trend"
"7",1995.5,-1.1448211176298,"Trend"
"8",1995.58333333333,-1.11708474721467,"Trend"
"9",1995.66666666667,-1.08934837679954,"Trend"
"10",1995.75,-1.06161200638441,"Trend"
"11",1995.83333333333,-1.03387563596928,"Trend"
"12",1995.91666666667,-1.00587951739502,"Trend"
"13",1996,-0.977883398820757,"Trend"
"14",1996.08333333333,-0.949887280246495,"Trend"
"15",1996.16666666667,-0.921891161672233,"Trend"
"16",1996.25,-0.89389504309797,"Trend"
"17",1996.33333333333,-0.865898924523709,"Trend"
"18",1996.41666666667,-0.837902805949446,"Trend"
"19",1996.5,-0.809906687375184,"Trend"
"20",1996.58333333333,-0.781910568800921,"Trend"
"21",1996.66666666667,-0.753914450226659,"Trend"
"22",1996.75,-0.728403618004767,"Trend"
"23",1996.83333333333,-0.702892785782876,"Trend"
"24",1996.91666666667,-0.677381953560982,"Trend"
"25",1997,-0.65187112133909,"Trend"
"26",1997.08333333333,-0.626360289117198,"Trend"
"27",1997.16666666667,-0.600849456895306,"Trend"
"28",1997.25,-0.575338624673414,"Trend"
"29",1997.33333333333,-0.54982779245152,"Trend"
"30",1997.41666666667,-0.524316960229628,"Trend"
"31",1997.5,-0.498806128007736,"Trend"
"32",1997.58333333333,-0.475918690569447,"Trend"
"33",1997.66666666667,-0.45303125313116,"Trend"
"34",1997.75,-0.430143815692871,"Trend"
"35",1997.83333333333,-0.407256378254582,"Trend"
"36",1997.91666666667,-0.384368940816294,"Trend"
"37",1998,-0.361481503378005,"Trend"
"38",1998.08333333333,-0.338594065939716,"Trend"
"39",1998.16666666667,-0.315706628501427,"Trend"
"40",1998.25,-0.29281919106314,"Trend"
"41",1998.33333333333,-0.269931753624851,"Trend"
"42",1998.41666666667,-0.244295303975171,"Trend"
"43",1998.5,-0.218658854325492,"Trend"
"44",1998.58333333333,-0.19302240467581,"Trend"
"45",1998.66666666667,-0.167385955026131,"Trend"
"46",1998.75,-0.141749505376451,"Trend"
"47",1998.83333333333,-0.116113055726771,"Trend"
"48",1998.91666666667,-0.0904766060770914,"Trend"
"49",1999,-0.0648401564274099,"Trend"
"50",1999.08333333333,-0.0392037067777302,"Trend"
"51",1999.16666666667,-0.0135672571280505,"Trend"
"52",1999.25,0.0032870123931108,"Trend"
"53",1999.33333333333,0.0201412819142721,"Trend"
"54",1999.41666666667,0.0369955514354334,"Trend"
"55",1999.5,0.0538498209565947,"Trend"
"56",1999.58333333333,0.0707040904777561,"Trend"
"57",1999.66666666667,0.0875583599989174,"Trend"
"58",1999.75,0.104412629520079,"Trend"
"59",1999.83333333333,0.12126689904124,"Trend"
"60",1999.91666666667,0.138121168562401,"Trend"
"61",2000,0.154975438083563,"Trend"
"62",2000.08333333333,0.151016031267922,"Trend"
"63",2000.16666666667,0.147056624452279,"Trend"
"64",2000.25,0.143097217636637,"Trend"
"65",2000.33333333333,0.139137810820996,"Trend"
"66",2000.41666666667,0.135178404005355,"Trend"
