"","x","y","series"
"1",1990,0.0734203545750987,"Trend"
"2",1990.08333333333,0.0728399275357461,"Trend"
"3",1990.16666666667,0.0722595004963935,"Trend"
"4",1990.25,0.0716790734570409,"Trend"
"5",1990.33333333333,0.0710986464176884,"Trend"
"6",1990.41666666667,0.0705182193783349,"Trend"
"7",1990.5,0.0699377923389823,"Trend"
"8",1990.58333333333,0.0693573652996298,"Trend"
"9",1990.66666666667,0.0687769382602772,"Trend"
"10",1990.75,0.0681965112209246,"Trend"
"11",1990.83333333333,0.0676160841815721,"Trend"
"12",1990.91666666667,0.0668268791304998,"Trend"
"13",1991,0.0660376740794275,"Trend"
"14",1991.08333333333,0.0652484690283544,"Trend"
"15",1991.16666666667,0.0644592639772821,"Trend"
"16",1991.25,0.0636700589262098,"Trend"
"17",1991.33333333333,0.0628808538751375,"Trend"
"18",1991.41666666667,0.0620916488240653,"Trend"
"19",1991.5,0.0613024437729921,"Trend"
"20",1991.58333333333,0.0605132387219198,"Trend"
"21",1991.66666666667,0.0597240336708476,"Trend"
"22",1991.75,0.0586590316357292,"Trend"
"23",1991.83333333333,0.0575940296006108,"Trend"
"24",1991.91666666667,0.0565290275654924,"Trend"
"25",1992,0.055464025530374,"Trend"
"26",1992.08333333333,0.0543990234952547,"Trend"
"27",1992.16666666667,0.0533340214601363,"Trend"
"28",1992.25,0.0522690194250179,"Trend"
"29",1992.33333333333,0.0512040173898995,"Trend"
"30",1992.41666666667,0.0501390153547812,"Trend"
"31",1992.5,0.0490740133196628,"Trend"
"32",1992.58333333333,0.0476788507981434,"Trend"
"33",1992.66666666667,0.046283688276624,"Trend"
"34",1992.75,0.0448885257551046,"Trend"
"35",1992.83333333333,0.0434933632335852,"Trend"
"36",1992.91666666667,0.0420982007120658,"Trend"
"37",1993,0.0407030381905473,"Trend"
"38",1993.08333333333,0.0393078756690279,"Trend"
"39",1993.16666666667,0.0379127131475085,"Trend"
"40",1993.25,0.0365175506259892,"Trend"
"41",1993.33333333333,0.0351223881044698,"Trend"
"42",1993.41666666667,0.031079946857802,"Trend"
"43",1993.5,0.0270375056111334,"Trend"
"44",1993.58333333333,0.0229950643644656,"Trend"
"45",1993.66666666667,0.0189526231177979,"Trend"
"46",1993.75,0.0149101818711292,"Trend"
"47",1993.83333333333,0.0108677406244615,"Trend"
"48",1993.91666666667,0.00682529937779375,"Trend"
"49",1994,0.002782858131126,"Trend"
"50",1994.08333333333,-0.00125958311554264,"Trend"
"51",1994.16666666667,-0.00530202436221039,"Trend"
"52",1994.25,-0.0147831483972829,"Trend"
"53",1994.33333333333,-0.024264272432355,"Trend"
"54",1994.41666666667,-0.0337453964674275,"Trend"
"55",1994.5,-0.0432265205025,"Trend"
"56",1994.58333333333,-0.0527076445375725,"Trend"
"57",1994.66666666667,-0.0621887685726445,"Trend"
"58",1994.75,-0.0716698926077171,"Trend"
"59",1994.83333333333,-0.0811510166427896,"Trend"
"60",1994.91666666667,-0.0906321406778616,"Trend"
"61",1995,-0.100113264712934,"Trend"
"62",1995.08333333333,-0.108281325132721,"Trend"
"63",1995.16666666667,-0.116449385552509,"Trend"
"64",1995.25,-0.124617445972296,"Trend"
"65",1995.33333333333,-0.132785506392084,"Trend"
"66",1995.41666666667,-0.140953566811871,"Trend"
"67",1995.5,-0.149121627231658,"Trend"
"68",1995.58333333333,-0.157289687651446,"Trend"
"69",1995.66666666667,-0.165457748071233,"Trend"
"70",1995.75,-0.17362580849102,"Trend"
"71",1995.83333333333,-0.181793868910808,"Trend"
"72",1995.91666666667,-0.185809877523766,"Trend"
"73",1996,-0.189825886136725,"Trend"
"74",1996.08333333333,-0.193841894749684,"Trend"
"75",1996.16666666667,-0.197857903362642,"Trend"
"76",1996.25,-0.201873911975601,"Trend"
"77",1996.33333333333,-0.20588992058856,"Trend"
"78",1996.41666666667,-0.209905929201518,"Trend"
"79",1996.5,-0.213921937814477,"Trend"
"80",1996.58333333333,-0.217937946427436,"Trend"
"81",1996.66666666667,-0.221953955040394,"Trend"
"82",1996.75,-0.22118214486699,"Trend"
"83",1996.83333333333,-0.220410334693586,"Trend"
"84",1996.91666666667,-0.219638524520182,"Trend"
"85",1997,-0.218866714346778,"Trend"
"86",1997.08333333333,-0.218094904173374,"Trend"
"87",1997.16666666667,-0.21732309399997,"Trend"
"88",1997.25,-0.216551283826565,"Trend"
"89",1997.33333333333,-0.215779473653162,"Trend"
"90",1997.41666666667,-0.215007663479757,"Trend"
"91",1997.5,-0.214235853306353,"Trend"
"92",1997.58333333333,-0.208247661919458,"Trend"
"93",1997.66666666667,-0.202259470532562,"Trend"
"94",1997.75,-0.196271279145667,"Trend"
"95",1997.83333333333,-0.190283087758772,"Trend"
"96",1997.91666666667,-0.184294896371877,"Trend"
"97",1998,-0.178306704984982,"Trend"
"98",1998.08333333333,-0.172318513598086,"Trend"
"99",1998.16666666667,-0.166330322211191,"Trend"
"100",1998.25,-0.160342130824295,"Trend"
"101",1998.33333333333,-0.1543539394374,"Trend"
"102",1998.41666666667,-0.145261732549704,"Trend"
"103",1998.5,-0.136169525662008,"Trend"
"104",1998.58333333333,-0.127077318774311,"Trend"
