"","y","x","cat"
"1",-0.0825399136126457,1990,"Jan"
"2",0.0242382652881754,1990.08333333333,"Feb"
"3",0.0774417527156381,1990.16666666667,"Mar"
"4",0.0517116464751802,1990.25,"Apr"
"5",0.000982760365870651,1990.33333333333,"May"
"6",-0.00859262000560337,1990.41666666667,"Jun"
"7",-0.00447913861114147,1990.5,"Jul"
"8",-0.00158359653148416,1990.58333333333,"Aug"
"9",0.00107695039896628,1990.66666666667,"Sep"
"10",0.00186574456721719,1990.75,"Oct"
"11",0.00342976038574928,1990.83333333333,"Nov"
"12",-0.0268981483293666,1990.91666666667,"Dec"
"13",-0.0366449041904773,1991,"Jan"
"14",0.000867194332845511,1991.08333333333,"Feb"
"15",0.0206097895336876,1991.16666666667,"Mar"
"16",0.0138955862887921,1991.25,"Apr"
"17",-0.00106396794026863,1991.33333333333,"May"
"18",-0.00823395860929408,1991.41666666667,"Jun"
"19",0.00244111596055206,1991.5,"Jul"
"20",0.00574208774494767,1991.58333333333,"Aug"
"21",0.00860621350322038,1991.66666666667,"Sep"
"22",0.0102563677109304,1991.75,"Oct"
"23",0.0131676457027513,1991.83333333333,"Nov"
"24",0.00756717689353695,1991.91666666667,"Dec"
"25",0.00909361519264886,1992,"Jan"
"26",-0.0226782827138242,1992.08333333333,"Feb"
"27",-0.0364144957919002,1992.16666666667,"Mar"
"28",-0.0241598078014776,1992.25,"Apr"
"29",-0.00339704191053386,1992.33333333333,"May"
"30",-0.00824172110270719,1992.41666666667,"Jun"
"31",0.00891486841692674,1992.5,"Jul"
"32",0.0125052703557826,1992.58333333333,"Aug"
"33",0.0154569753915995,1992.66666666667,"Sep"
"34",0.017830361363699,1992.75,"Oct"
"35",0.0219507732537391,1992.83333333333,"Nov"
"36",0.0409420531269572,1992.91666666667,"Dec"
"37",0.055574233804817,1993,"Jan"
"38",-0.0445858288428303,1993.08333333333,"Feb"
"39",-0.0919329562055431,1993.16666666667,"Mar"
"40",-0.0611921443290348,1993.25,"Apr"
"41",-0.0050316354163855,1993.33333333333,"May"
"42",-0.00643444852297712,1993.41666666667,"Jun"
"43",0.0156818685616572,1993.5,"Jul"
"44",0.0195257485709231,1993.58333333333,"Aug"
"45",0.0226262875625313,1993.66666666667,"Sep"
"46",0.0259660742682082,1993.75,"Oct"
"47",0.0312115828831126,1993.83333333333,"Nov"
"48",0.0740929586167031,1993.91666666667,"Dec"
"49",0.101169750689755,1994,"Jan"
"50",-0.0672916876338758,1994.08333333333,"Feb"
"51",-0.148162940216035,1994.16666666667,"Mar"
"52",-0.0989189185358827,1994.25,"Apr"
"53",-0.00734358068396953,1994.33333333333,"May"
"54",-0.00537401702071315,1994.41666666667,"Jun"
"55",0.0216325383131879,1994.5,"Jul"
"56",0.0255768941051892,1994.58333333333,"Aug"
"57",0.0286732647649144,1994.66666666667,"Sep"
"58",0.032762520008004,1994.75,"Oct"
"59",0.038916193151608,1994.83333333333,"Nov"
"60",0.105449072935776,1994.91666666667,"Dec"
"61",0.145955978010703,1995,"Jan"
"62",-0.0873098210137733,1995.08333333333,"Feb"
"63",-0.201349703520997,1995.16666666667,"Mar"
"64",-0.134791245602739,1995.25,"Apr"
"65",-0.00860852873664911,1995.33333333333,"May"
"66",-0.0023659132269701,1995.41666666667,"Jun"
"67",0.0283419146805859,1995.5,"Jul"
"68",0.0325085053524792,1995.58333333333,"Aug"
"69",0.0358488831622623,1995.66666666667,"Sep"
"70",0.0411350355091751,1995.75,"Oct"
"71",0.0481865423387102,1995.83333333333,"Nov"
"72",0.13748955953221,1995.91666666667,"Dec"
"73",0.189128085942424,1996,"Jan"
"74",-0.10859744720044,1996.08333333333,"Feb"
"75",-0.255461333050271,1996.16666666667,"Mar"
"76",-0.171190073990187,1996.25,"Apr"
"77",-0.0100016132061999,1996.33333333333,"May"
"78",0.000937464637438437,1996.41666666667,"Jun"
"79",0.0357699756061862,1996.5,"Jul"
"80",0.0405700635244384,1996.58333333333,"Aug"
"81",0.0445657108507467,1996.66666666667,"Sep"
"82",0.0514055660174109,1996.75,"Oct"
"83",0.0597117122488056,1996.83333333333,"Nov"
"84",0.172036768491369,1996.91666666667,"Dec"
"85",0.23440023879968,1997,"Jan"
"86",-0.133354159536151,1997.08333333333,"Feb"
"87",-0.322715616478063,1997.16666666667,"Mar"
"88",-0.221802397398019,1997.25,"Apr"
"89",-0.0142405282261063,1997.33333333333,"May"
"90",0.00784725096205463,1997.41666666667,"Jun"
"91",0.0448250784195599,1997.5,"Jul"
"92",0.0497566544201431,1997.58333333333,"Aug"
"93",0.0544924484941861,1997.66666666667,"Sep"
"94",0.0627347245137304,1997.75,"Oct"
"95",0.0719222871974549,1997.83333333333,"Nov"
"96",0.21699308816806,1997.91666666667,"Dec"
"97",0.280003879820427,1998,"Jan"
"98",-0.157865377628663,1998.08333333333,"Feb"
"99",-0.389810399582946,1998.16666666667,"Mar"
"100",-0.272158061694171,1998.25,"Apr"
"101",-0.0181256253455629,1998.33333333333,"May"
"102",0.0153664530573697,1998.41666666667,"Jun"
"103",0.0547451948738817,1998.5,"Jul"
"104",0.0601655353697069,1998.58333333333,"Aug"
"105",0.0659987526043957,1998.66666666667,"Sep"
"106",0.0760199616807266,1998.75,"Oct"
"107",0.0864654530206874,1998.83333333333,"Nov"
"108",0.264594092360292,1998.91666666667,"Dec"
"109",0.321216645790446,1999,"Jan"
"110",-0.188800817700324,1999.08333333333,"Feb"
"111",-0.459709126376344,1999.16666666667,"Mar"
"112",-0.32814821850577,1999.25,"Apr"
