"","y","x","cat"
"1",-6.23864937104727,1990,"Jan"
"2",-7.36175908989171,1990.08333333333,"Feb"
"3",-7.42502068985202,1990.16666666667,"Mar"
"4",-6.74338413229359,1990.25,"Apr"
"5",-4.79921283325559,1990.33333333333,"May"
"6",2.00435881312566,1990.41666666667,"Jun"
"7",8.9581742925026,1990.5,"Jul"
"8",13.1826508459566,1990.58333333333,"Aug"
"9",9.77764206570343,1990.66666666667,"Sep"
"10",4.41691054955425,1990.75,"Oct"
"11",-1.41951935067003,1990.83333333333,"Nov"
"12",-4.36424945557837,1990.91666666667,"Dec"
"13",-6.23546498177171,1991,"Jan"
"14",-7.33364355147927,1991.08333333333,"Feb"
"15",-7.41025423608793,1991.16666666667,"Mar"
"16",-6.77030534608233,1991.25,"Apr"
"17",-4.75600511825195,1991.33333333333,"May"
"18",2.03805254265722,1991.41666666667,"Jun"
"19",9.08684597878944,1991.5,"Jul"
"20",12.8894695302332,1991.58333333333,"Aug"
"21",9.76868078041377,1991.66666666667,"Sep"
"22",4.36148731398632,1991.75,"Oct"
"23",-1.30152057103136,1991.83333333333,"Nov"
"24",-4.35931307504142,1991.91666666667,"Dec"
"25",-6.23057125805489,1992,"Jan"
"26",-7.30391511166112,1992.08333333333,"Feb"
"27",-7.3939713139537,1992.16666666667,"Mar"
"28",-6.79575520883781,1992.25,"Apr"
"29",-4.71137116955193,1992.33333333333,"May"
"30",2.07322423728005,1992.41666666667,"Jun"
"31",9.21704736156244,1992.5,"Jul"
"32",12.5980108067495,1992.58333333333,"Aug"
"33",9.76163498311752,1992.66666666667,"Sep"
"34",4.30822077455617,1992.75,"Oct"
"35",-1.18112388711052,1992.83333333333,"Nov"
"36",-4.35174813835833,1992.91666666667,"Dec"
"37",-6.22046693702946,1993,"Jan"
"38",-7.27763470943212,1993.08333333333,"Feb"
"39",-7.37763042643332,1993.16666666667,"Mar"
"40",-6.81919030912866,1993.25,"Apr"
"41",-4.68950008832228,1993.33333333333,"May"
"42",2.09172967575368,1993.41666666667,"Jun"
"43",9.32314396885411,1993.5,"Jul"
"44",12.3340011006018,1993.58333333333,"Aug"
"45",9.77121397633215,1993.66666666667,"Sep"
"46",4.28347860194215,1993.75,"Oct"
"47",-1.08009337642405,1993.83333333333,"Nov"
"48",-4.35619681074599,1993.91666666667,"Dec"
"49",-6.20896447413073,1994,"Jan"
"50",-7.25032891030245,1994.08333333333,"Feb"
"51",-7.36063688698488,1994.16666666667,"Mar"
"52",-6.84253404140999,1994.25,"Apr"
"53",-4.66809892300162,1994.33333333333,"May"
"54",2.10894810175148,1994.41666666667,"Jun"
"55",9.42713646710312,1994.5,"Jul"
"56",12.0667825009621,1994.58333333333,"Aug"
"57",9.77647929160554,1994.66666666667,"Sep"
"58",4.25310017653509,1994.75,"Oct"
"59",-0.986021693382413,1994.83333333333,"Nov"
"60",-4.36899049296879,1994.91666666667,"Dec"
"61",-6.20939596818569,1995,"Jan"
"62",-7.22538278929139,1995.08333333333,"Feb"
"63",-7.35017594789775,1995.16666666667,"Mar"
"64",-6.85864876377577,1995.25,"Apr"
"65",-4.62305790220921,1995.33333333333,"May"
"66",2.18262446107967,1995.41666666667,"Jun"
"67",9.54333655379595,1995.5,"Jul"
"68",11.8145104738114,1995.58333333333,"Aug"
"69",9.77054527596862,1995.66666666667,"Sep"
"70",4.22524398285478,1995.75,"Oct"
"71",-0.90057123487465,1995.83333333333,"Nov"
"72",-4.39479593505782,1995.91666666667,"Dec"
"73",-6.21700258361424,1996,"Jan"
"74",-7.20625656150859,1996.08333333333,"Feb"
"75",-7.34417967389353,1996.16666666667,"Mar"
"76",-6.87797658436894,1996.25,"Apr"
"77",-4.57997841278866,1996.33333333333,"May"
"78",2.2553164785327,1996.41666666667,"Jun"
"79",9.65952948811031,1996.5,"Jul"
"80",11.5629027706773,1996.58333333333,"Aug"
"81",9.76594706074327,1996.66666666667,"Sep"
"82",4.19925570867763,1996.75,"Oct"
"83",-0.812720737772153,1996.83333333333,"Nov"
"84",-4.4176145554293,1996.91666666667,"Dec"
"85",-6.20697372346587,1997,"Jan"
"86",-7.19127318135665,1997.08333333333,"Feb"
"87",-7.34753895390655,1997.16666666667,"Mar"
"88",-6.87263222534519,1997.25,"Apr"
"89",-4.63755790061295,1997.33333333333,"May"
"90",2.34735522511378,1997.41666666667,"Jun"
"91",9.71817163031544,1997.5,"Jul"
"92",11.4913353070114,1997.58333333333,"Aug"
"93",9.77554887708737,1997.66666666667,"Sep"
"94",4.17347633094807,1997.75,"Oct"
"95",-0.81706133330985,1997.83333333333,"Nov"
"96",-4.49695184939215,1997.91666666667,"Dec"
"97",-6.18875308653947,1998,"Jan"
"98",-7.16810580842693,1998.08333333333,"Feb"
"99",-7.34272202514201,1998.16666666667,"Mar"
"100",-6.85858412073348,1998.25,"Apr"
"101",-4.68590610603886,1998.33333333333,"May"
"102",2.45000503275825,1998.41666666667,"Jun"
"103",9.78880461224899,1998.5,"Jul"
"104",11.4338785673316,1998.58333333333,"Aug"
"105",9.80138130167538,1998.66666666667,"Sep"
"106",4.16652848997712,1998.75,"Oct"
"107",-0.799969463574265,1998.83333333333,"Nov"
"108",-4.55218237801574,1998.91666666667,"Dec"
"109",-6.16403592213116,1999,"Jan"
"110",-7.16838425856131,1999.08333333333,"Feb"
"111",-7.32706510680522,1999.16666666667,"Mar"
"112",-6.83585231452694,1999.25,"Apr"
"113",-4.81266796063885,1999.33333333333,"May"
"114",2.40827116721764,1999.41666666667,"Jun"
"115",9.72926295667715,1999.5,"Jul"
