"","x","y","series"
"1",1990,0.173665497489891,"Trend"
"2",1990.08333333333,0.164101092564141,"Trend"
"3",1990.16666666667,0.154536687638392,"Trend"
"4",1990.25,0.144972282712642,"Trend"
"5",1990.33333333333,0.135407877786892,"Trend"
"6",1990.41666666667,0.125843472861143,"Trend"
"7",1990.5,0.116279067935393,"Trend"
"8",1990.58333333333,0.106714663009643,"Trend"
"9",1990.66666666667,0.097150258083893,"Trend"
"10",1990.75,0.0875858531581439,"Trend"
"11",1990.83333333333,0.078021448232394,"Trend"
"12",1990.91666666667,0.0685662134372391,"Trend"
"13",1991,0.0591109786420851,"Trend"
"14",1991.08333333333,0.0496557438469303,"Trend"
"15",1991.16666666667,0.0402005090517763,"Trend"
"16",1991.25,0.0307452742566214,"Trend"
"17",1991.33333333333,0.0212900394614666,"Trend"
"18",1991.41666666667,0.0118348046663126,"Trend"
"19",1991.5,0.00237956987115773,"Trend"
"20",1991.58333333333,-0.00707566492399625,"Trend"
"21",1991.66666666667,-0.0165308997191511,"Trend"
"22",1991.75,-0.026317518755703,"Trend"
"23",1991.83333333333,-0.036104137792254,"Trend"
"24",1991.91666666667,-0.0458907568288058,"Trend"
"25",1992,-0.0556773758653568,"Trend"
"26",1992.08333333333,-0.0654639949019087,"Trend"
"27",1992.16666666667,-0.0752506139384606,"Trend"
"28",1992.25,-0.0850372329750115,"Trend"
"29",1992.33333333333,-0.0948238520115634,"Trend"
"30",1992.41666666667,-0.104610471048114,"Trend"
"31",1992.5,-0.114397090084666,"Trend"
"32",1992.58333333333,-0.12431779756955,"Trend"
"33",1992.66666666667,-0.134238505054433,"Trend"
"34",1992.75,-0.144159212539317,"Trend"
"35",1992.83333333333,-0.1540799200242,"Trend"
"36",1992.91666666667,-0.164000627509084,"Trend"
"37",1993,-0.173921334993967,"Trend"
"38",1993.08333333333,-0.18384204247885,"Trend"
"39",1993.16666666667,-0.193762749963734,"Trend"
"40",1993.25,-0.203683457448617,"Trend"
"41",1993.33333333333,-0.213604164933501,"Trend"
"42",1993.41666666667,-0.222558844234574,"Trend"
"43",1993.5,-0.231513523535646,"Trend"
"44",1993.58333333333,-0.24046820283672,"Trend"
"45",1993.66666666667,-0.249422882137792,"Trend"
"46",1993.75,-0.258377561438865,"Trend"
"47",1993.83333333333,-0.267332240739938,"Trend"
"48",1993.91666666667,-0.276286920041011,"Trend"
"49",1994,-0.285241599342084,"Trend"
"50",1994.08333333333,-0.294196278643157,"Trend"
"51",1994.16666666667,-0.30315095794423,"Trend"
"52",1994.25,-0.311765873779919,"Trend"
"53",1994.33333333333,-0.320380789615609,"Trend"
"54",1994.41666666667,-0.328995705451299,"Trend"
"55",1994.5,-0.337610621286988,"Trend"
"56",1994.58333333333,-0.346225537122678,"Trend"
"57",1994.66666666667,-0.354840452958368,"Trend"
"58",1994.75,-0.363455368794058,"Trend"
"59",1994.83333333333,-0.372070284629747,"Trend"
"60",1994.91666666667,-0.380685200465437,"Trend"
"61",1995,-0.389300116301126,"Trend"
"62",1995.08333333333,-0.39271479730108,"Trend"
"63",1995.16666666667,-0.396129478301033,"Trend"
"64",1995.25,-0.399544159300986,"Trend"
"65",1995.33333333333,-0.40295884030094,"Trend"
"66",1995.41666666667,-0.406373521300893,"Trend"
"67",1995.5,-0.409788202300846,"Trend"
"68",1995.58333333333,-0.4132028833008,"Trend"
"69",1995.66666666667,-0.416617564300753,"Trend"
"70",1995.75,-0.420032245300706,"Trend"
"71",1995.83333333333,-0.423446926300659,"Trend"
"72",1995.91666666667,-0.418293751981623,"Trend"
"73",1996,-0.413140577662586,"Trend"
"74",1996.08333333333,-0.407987403343549,"Trend"
"75",1996.16666666667,-0.402834229024512,"Trend"
"76",1996.25,-0.397681054705475,"Trend"
"77",1996.33333333333,-0.392527880386438,"Trend"
"78",1996.41666666667,-0.387374706067401,"Trend"
"79",1996.5,-0.382221531748364,"Trend"
"80",1996.58333333333,-0.377068357429327,"Trend"
"81",1996.66666666667,-0.37191518311029,"Trend"
"82",1996.75,-0.360451005974536,"Trend"
"83",1996.83333333333,-0.348986828838782,"Trend"
"84",1996.91666666667,-0.337522651703027,"Trend"
"85",1997,-0.326058474567273,"Trend"
"86",1997.08333333333,-0.314594297431519,"Trend"
"87",1997.16666666667,-0.303130120295765,"Trend"
"88",1997.25,-0.291665943160011,"Trend"
"89",1997.33333333333,-0.280201766024256,"Trend"
"90",1997.41666666667,-0.268737588888502,"Trend"
"91",1997.5,-0.257273411752748,"Trend"
"92",1997.58333333333,-0.243276463245449,"Trend"
"93",1997.66666666667,-0.229279514738149,"Trend"
"94",1997.75,-0.21528256623085,"Trend"
"95",1997.83333333333,-0.201285617723551,"Trend"
"96",1997.91666666667,-0.187288669216252,"Trend"
"97",1998,-0.173291720708952,"Trend"
"98",1998.08333333333,-0.159294772201653,"Trend"
"99",1998.16666666667,-0.145297823694354,"Trend"
"100",1998.25,-0.131300875187054,"Trend"
"101",1998.33333333333,-0.117303926679755,"Trend"
"102",1998.41666666667,-0.103393291410658,"Trend"
"103",1998.5,-0.08948265614156,"Trend"
"104",1998.58333333333,-0.0755720208724631,"Trend"
"105",1998.66666666667,-0.0616613856033652,"Trend"
"106",1998.75,-0.0477507503342682,"Trend"
"107",1998.83333333333,-0.0338401150651713,"Trend"
"108",1998.91666666667,-0.0199294797960734,"Trend"
"109",1999,-0.00601884452697643,"Trend"
"110",1999.08333333333,0.00789179074212143,"Trend"
"111",1999.16666666667,0.0218024260112184,"Trend"
"112",1999.25,0.0337354870222022,"Trend"
"113",1999.33333333333,0.045668548033186,"Trend"
"114",1999.41666666667,0.0576016090441698,"Trend"
"115",1999.5,0.0695346700551536,"Trend"
"116",1999.58333333333,0.0814677310661374,"Trend"
"117",1999.66666666667,0.0934007920771212,"Trend"
"118",1999.75,0.105333853088105,"Trend"
"119",1999.83333333333,0.117266914099089,"Trend"
"120",1999.91666666667,0.129199975110073,"Trend"
"121",2000,0.141133036121056,"Trend"
"122",2000.08333333333,0.144109212281853,"Trend"
"123",2000.16666666667,0.147085388442648,"Trend"
"124",2000.25,0.150061564603445,"Trend"
"125",2000.33333333333,0.153037740764241,"Trend"
"126",2000.41666666667,0.156013916925038,"Trend"
"127",2000.5,0.158990093085833,"Trend"
"128",2000.58333333333,0.16196626924663,"Trend"
"129",2000.66666666667,0.164942445407426,"Trend"
"130",2000.75,0.167918621568222,"Trend"
"131",2000.83333333333,0.170894797729018,"Trend"
"132",2000.91666666667,0.16471088991189,"Trend"
"133",2001,0.158526982094762,"Trend"
"134",2001.08333333333,0.152343074277634,"Trend"
"135",2001.16666666667,0.146159166460506,"Trend"
"136",2001.25,0.139975258643378,"Trend"
"137",2001.33333333333,0.13379135082625,"Trend"
"138",2001.41666666667,0.127607443009122,"Trend"
"139",2001.5,0.121423535191994,"Trend"
"140",2001.58333333333,0.115239627374866,"Trend"
"141",2001.66666666667,0.109055719557738,"Trend"
"142",2001.75,0.101042984818079,"Trend"
"143",2001.83333333333,0.0930302500784208,"Trend"
"144",2001.91666666667,0.0850175153387633,"Trend"
"145",2002,0.077004780599105,"Trend"
"146",2002.08333333333,0.0689920458594466,"Trend"
"147",2002.16666666667,0.0609793111197883,"Trend"
"148",2002.25,0.0529665763801299,"Trend"
"149",2002.33333333333,0.0449538416404724,"Trend"
"150",2002.41666666667,0.0369411069008141,"Trend"
