"","x","y","series"
"1",1990,0.0285819875004933,"Trend"
"2",1990.08333333333,0.0258677275667876,"Trend"
"3",1990.16666666667,0.0231534676330818,"Trend"
"4",1990.25,0.0204392076993769,"Trend"
"5",1990.33333333333,0.0177249477656711,"Trend"
"6",1990.41666666667,0.0150106878319654,"Trend"
"7",1990.5,0.0122964278982596,"Trend"
"8",1990.58333333333,0.0095821679645538,"Trend"
"9",1990.66666666667,0.00686790803084847,"Trend"
"10",1990.75,0.00415364809714314,"Trend"
"11",1990.83333333333,0.00143938816343736,"Trend"
"12",1990.91666666667,-0.00165797101740406,"Trend"
"13",1991,-0.00475533019824592,"Trend"
"14",1991.08333333333,-0.00785268937908734,"Trend"
"15",1991.16666666667,-0.0109500485599292,"Trend"
"16",1991.25,-0.0140474077407706,"Trend"
"17",1991.33333333333,-0.017144766921612,"Trend"
"18",1991.41666666667,-0.0202421261024539,"Trend"
"19",1991.5,-0.0233394852832953,"Trend"
"20",1991.58333333333,-0.0264368444641372,"Trend"
"21",1991.66666666667,-0.0295342036449786,"Trend"
"22",1991.75,-0.0331083402333974,"Trend"
"23",1991.83333333333,-0.0366824768218161,"Trend"
"24",1991.91666666667,-0.0402566134102349,"Trend"
"25",1992,-0.0438307499986537,"Trend"
"26",1992.08333333333,-0.0474048865870729,"Trend"
"27",1992.16666666667,-0.0509790231754916,"Trend"
"28",1992.25,-0.0545531597639104,"Trend"
"29",1992.33333333333,-0.0581272963523292,"Trend"
"30",1992.41666666667,-0.0617014329407479,"Trend"
"31",1992.5,-0.0652755695291667,"Trend"
"32",1992.58333333333,-0.0691881546338124,"Trend"
"33",1992.66666666667,-0.0731007397384578,"Trend"
"34",1992.75,-0.0770133248431031,"Trend"
"35",1992.83333333333,-0.0809259099477488,"Trend"
"36",1992.91666666667,-0.0848384950523946,"Trend"
"37",1993,-0.0887510801570399,"Trend"
"38",1993.08333333333,-0.0926636652616852,"Trend"
"39",1993.16666666667,-0.096576250366331,"Trend"
"40",1993.25,-0.100488835470977,"Trend"
"41",1993.33333333333,-0.104401420575622,"Trend"
"42",1993.41666666667,-0.11046116335294,"Trend"
"43",1993.5,-0.116520906130259,"Trend"
"44",1993.58333333333,-0.122580648907578,"Trend"
"45",1993.66666666667,-0.128640391684896,"Trend"
"46",1993.75,-0.134700134462215,"Trend"
"47",1993.83333333333,-0.140759877239533,"Trend"
"48",1993.91666666667,-0.146819620016851,"Trend"
"49",1994,-0.15287936279417,"Trend"
"50",1994.08333333333,-0.158939105571489,"Trend"
"51",1994.16666666667,-0.164998848348807,"Trend"
"52",1994.25,-0.173070570639851,"Trend"
"53",1994.33333333333,-0.181142292930896,"Trend"
"54",1994.41666666667,-0.189214015221941,"Trend"
"55",1994.5,-0.197285737512985,"Trend"
"56",1994.58333333333,-0.20535745980403,"Trend"
"57",1994.66666666667,-0.213429182095074,"Trend"
"58",1994.75,-0.221500904386119,"Trend"
"59",1994.83333333333,-0.229572626677164,"Trend"
"60",1994.91666666667,-0.237644348968208,"Trend"
"61",1995,-0.245716071259253,"Trend"
"62",1995.08333333333,-0.249184210240012,"Trend"
"63",1995.16666666667,-0.25265234922077,"Trend"
"64",1995.25,-0.25612048820153,"Trend"
"65",1995.33333333333,-0.259588627182289,"Trend"
"66",1995.41666666667,-0.263056766163048,"Trend"
"67",1995.5,-0.266524905143807,"Trend"
"68",1995.58333333333,-0.269993044124566,"Trend"
"69",1995.66666666667,-0.273461183105325,"Trend"
"70",1995.75,-0.276929322086084,"Trend"
"71",1995.83333333333,-0.280397461066843,"Trend"
"72",1995.91666666667,-0.277685765812288,"Trend"
"73",1996,-0.274974070557734,"Trend"
"74",1996.08333333333,-0.272262375303179,"Trend"
"75",1996.16666666667,-0.269550680048625,"Trend"
"76",1996.25,-0.266838984794071,"Trend"
"77",1996.33333333333,-0.264127289539516,"Trend"
"78",1996.41666666667,-0.261415594284962,"Trend"
"79",1996.5,-0.258703899030407,"Trend"
"80",1996.58333333333,-0.255992203775853,"Trend"
"81",1996.66666666667,-0.253280508521298,"Trend"
"82",1996.75,-0.245624333151141,"Trend"
"83",1996.83333333333,-0.237968157780985,"Trend"
"84",1996.91666666667,-0.230311982410828,"Trend"
"85",1997,-0.222655807040671,"Trend"
"86",1997.08333333333,-0.214999631670514,"Trend"
"87",1997.16666666667,-0.207343456300358,"Trend"
"88",1997.25,-0.199687280930201,"Trend"
"89",1997.33333333333,-0.192031105560044,"Trend"
"90",1997.41666666667,-0.184374930189887,"Trend"
"91",1997.5,-0.176718754819731,"Trend"
"92",1997.58333333333,-0.165061952415587,"Trend"
"93",1997.66666666667,-0.153405150011443,"Trend"
"94",1997.75,-0.141748347607299,"Trend"
"95",1997.83333333333,-0.130091545203154,"Trend"
"96",1997.91666666667,-0.11843474279901,"Trend"
"97",1998,-0.106777940394867,"Trend"
"98",1998.08333333333,-0.0951211379907222,"Trend"
"99",1998.16666666667,-0.0834643355865783,"Trend"
"100",1998.25,-0.0718075331824339,"Trend"
"101",1998.33333333333,-0.06015073077829,"Trend"
"102",1998.41666666667,-0.0481478913458311,"Trend"
"103",1998.5,-0.0361450519133721,"Trend"
"104",1998.58333333333,-0.0241422124809132,"Trend"
"105",1998.66666666667,-0.0121393730484542,"Trend"
"106",1998.75,-0.000136533615995305,"Trend"
"107",1998.83333333333,0.0118663058164636,"Trend"
"108",1998.91666666667,0.023869145248923,"Trend"
"109",1999,0.0358719846813815,"Trend"
"110",1999.08333333333,0.04787482411384,"Trend"
"111",1999.16666666667,0.0598776635462994,"Trend"
"112",1999.25,0.069150537947992,"Trend"
"113",1999.33333333333,0.0784234123496836,"Trend"
"114",1999.41666666667,0.0876962867513762,"Trend"
"115",1999.5,0.0969691611530679,"Trend"
"116",1999.58333333333,0.10624203555476,"Trend"
"117",1999.66666666667,0.115514909956453,"Trend"
"118",1999.75,0.124787784358145,"Trend"
"119",1999.83333333333,0.134060658759837,"Trend"
"120",1999.91666666667,0.143333533161529,"Trend"
"121",2000,0.152606407563221,"Trend"
"122",2000.08333333333,0.154550315180781,"Trend"
"123",2000.16666666667,0.156494222798341,"Trend"
"124",2000.25,0.158438130415901,"Trend"
"125",2000.33333333333,0.160382038033461,"Trend"
"126",2000.41666666667,0.16232594565102,"Trend"
"127",2000.5,0.16426985326858,"Trend"
"128",2000.58333333333,0.166213760886139,"Trend"
"129",2000.66666666667,0.1681576685037,"Trend"
"130",2000.75,0.170101576121259,"Trend"
"131",2000.83333333333,0.172045483738819,"Trend"
"132",2000.91666666667,0.167507993212365,"Trend"
"133",2001,0.162970502685911,"Trend"
"134",2001.08333333333,0.158433012159457,"Trend"
"135",2001.16666666667,0.153895521633002,"Trend"
"136",2001.25,0.149358031106547,"Trend"
"137",2001.33333333333,0.144820540580093,"Trend"
"138",2001.41666666667,0.140283050053639,"Trend"
"139",2001.5,0.135745559527185,"Trend"
"140",2001.58333333333,0.131208069000731,"Trend"
"141",2001.66666666667,0.126670578474277,"Trend"
"142",2001.75,0.120512599740026,"Trend"
"143",2001.83333333333,0.114354621005775,"Trend"
"144",2001.91666666667,0.108196642271525,"Trend"
"145",2002,0.102038663537274,"Trend"
"146",2002.08333333333,0.0958806848030229,"Trend"
"147",2002.16666666667,0.089722706068772,"Trend"
"148",2002.25,0.083564727334521,"Trend"
"149",2002.33333333333,0.077406748600271,"Trend"
"150",2002.41666666667,0.07124876986602,"Trend"
"151",2002.5,0.0650907911317691,"Trend"
"152",2002.58333333333,0.0616009765518162,"Trend"
"153",2002.66666666667,0.0581111619718642,"Trend"
"154",2002.75,0.0546213473919113,"Trend"
"155",2002.83333333333,0.0511315328119584,"Trend"
"156",2002.91666666667,0.0476417182320055,"Trend"
"157",2003,0.0441519036520535,"Trend"
"158",2003.08333333333,0.0406620890721006,"Trend"
"159",2003.16666666667,0.0371722744921477,"Trend"
"160",2003.25,0.0336824599121957,"Trend"
"161",2003.33333333333,0.0301926453322428,"Trend"
"162",2003.41666666667,0.0304353296725908,"Trend"
"163",2003.5,0.0306780140129388,"Trend"
"164",2003.58333333333,0.0309206983532859,"Trend"
"165",2003.66666666667,0.0311633826936339,"Trend"
"166",2003.75,0.031406067033982,"Trend"
"167",2003.83333333333,0.03164875137433,"Trend"
"168",2003.91666666667,0.031891435714678,"Trend"
"169",2004,0.0321341200550251,"Trend"
"170",2004.08333333333,0.0323768043953732,"Trend"
"171",2004.16666666667,0.0326194887357212,"Trend"
"172",2004.25,0.0326581687863601,"Trend"
"173",2004.33333333333,0.0326968488369981,"Trend"
"174",2004.41666666667,0.0327355288876361,"Trend"
"175",2004.5,0.032774208938275,"Trend"
"176",2004.58333333333,0.0328128889889139,"Trend"
"177",2004.66666666667,0.0328515690395519,"Trend"
"178",2004.75,0.0328902490901899,"Trend"
"179",2004.83333333333,0.0329289291408288,"Trend"
"180",2004.91666666667,0.0329676091914677,"Trend"
"181",2005,0.0330062892421057,"Trend"
"182",2005.08333333333,0.0334901707849062,"Trend"
"183",2005.16666666667,0.0339740523277068,"Trend"
"184",2005.25,0.0344579338705082,"Trend"
"185",2005.33333333333,0.0349418154133088,"Trend"
"186",2005.41666666667,0.0354256969561093,"Trend"
"187",2005.5,0.0359095784989099,"Trend"
"188",2005.58333333333,0.0363934600417104,"Trend"
"189",2005.66666666667,0.0368773415845118,"Trend"
"190",2005.75,0.0373612231273124,"Trend"
"191",2005.83333333333,0.0378451046701129,"Trend"
"192",2005.91666666667,0.0378975326700117,"Trend"
"193",2006,0.0379499606699096,"Trend"
"194",2006.08333333333,0.0380023886698084,"Trend"
"195",2006.16666666667,0.0380548166697072,"Trend"
"196",2006.25,0.0381072446696051,"Trend"
"197",2006.33333333333,0.0381596726695039,"Trend"
"198",2006.41666666667,0.0382121006694027,"Trend"
"199",2006.5,0.0382645286693015,"Trend"
"200",2006.58333333333,0.0383169566691994,"Trend"
"201",2006.66666666667,0.0383693846690982,"Trend"
"202",2006.75,0.034896110954564,"Trend"
"203",2006.83333333333,0.0314228372400298,"Trend"
"204",2006.91666666667,0.0279495635254956,"Trend"
"205",2007,0.0244762898109614,"Trend"
"206",2007.08333333333,0.0210030160964272,"Trend"
"207",2007.16666666667,0.017529742381893,"Trend"
"208",2007.25,0.0140564686673588,"Trend"
"209",2007.33333333333,0.0105831949528246,"Trend"
"210",2007.41666666667,0.00710992123828991,"Trend"
"211",2007.5,0.0036366475237557,"Trend"
"212",2007.58333333333,3.47931247990374e-05,"Trend"
"213",2007.66666666667,-0.00356706127415762,"Trend"
"214",2007.75,-0.00716891567311473,"Trend"
"215",2007.83333333333,-0.0107707700720714,"Trend"
"216",2007.91666666667,-0.0143726244710281,"Trend"
"217",2008,-0.0179744788699847,"Trend"
"218",2008.08333333333,-0.0215763332689414,"Trend"
"219",2008.16666666667,-0.0251781876678985,"Trend"
"220",2008.25,-0.0287800420668551,"Trend"
"221",2008.33333333333,-0.0323818964658118,"Trend"
"222",2008.41666666667,-0.033719689954157,"Trend"
"223",2008.5,-0.0350574834425017,"Trend"
"224",2008.58333333333,-0.0363952769308469,"Trend"
"225",2008.66666666667,-0.0377330704191916,"Trend"
"226",2008.75,-0.0390708639075368,"Trend"
"227",2008.83333333333,-0.040408657395882,"Trend"
"228",2008.91666666667,-0.0417464508842267,"Trend"
"229",2009,-0.0430842443725719,"Trend"
"230",2009.08333333333,-0.0444220378609166,"Trend"
"231",2009.16666666667,-0.0457598313492618,"Trend"
"232",2009.25,-0.0384056700319664,"Trend"
"233",2009.33333333333,-0.0310515087146714,"Trend"
"234",2009.41666666667,-0.0236973473973765,"Trend"
"235",2009.5,-0.0163431860800811,"Trend"
"236",2009.58333333333,-0.00898902476278574,"Trend"
"237",2009.66666666667,-0.0016348634454908,"Trend"
"238",2009.75,0.00571929787180414,"Trend"
"239",2009.83333333333,0.0130734591890991,"Trend"
"240",2009.91666666667,0.0204276205063949,"Trend"
"241",2010,0.0277817818236898,"Trend"
"242",2010.08333333333,0.042085940523561,"Trend"
"243",2010.16666666667,0.056390099223433,"Trend"
"244",2010.25,0.070694257923305,"Trend"
"245",2010.33333333333,0.0849984166231761,"Trend"
"246",2010.41666666667,0.0993025753230472,"Trend"
"247",2010.5,0.113606734022919,"Trend"
"248",2010.58333333333,0.127910892722791,"Trend"
"249",2010.66666666667,0.142215051422662,"Trend"
"250",2010.75,0.156519210122533,"Trend"
"251",2010.83333333333,0.170823368822405,"Trend"
"252",2010.91666666667,0.179640791980967,"Trend"
"253",2011,0.188458215139529,"Trend"
"254",2011.08333333333,0.197275638298091,"Trend"
"255",2011.16666666667,0.206093061456652,"Trend"
"256",2011.25,0.214910484615214,"Trend"
"257",2011.33333333333,0.223727907773776,"Trend"
"258",2011.41666666667,0.232545330932337,"Trend"
"259",2011.5,0.241362754090899,"Trend"
"260",2011.58333333333,0.25018017724946,"Trend"
"261",2011.66666666667,0.258997600408022,"Trend"
"262",2011.75,0.256872110703339,"Trend"
"263",2011.83333333333,0.254746620998656,"Trend"
"264",2011.91666666667,0.252621131293972,"Trend"
"265",2012,0.250495641589289,"Trend"
"266",2012.08333333333,0.248370151884605,"Trend"
"267",2012.16666666667,0.246244662179923,"Trend"
"268",2012.25,0.244119172475239,"Trend"
"269",2012.33333333333,0.241993682770556,"Trend"
"270",2012.41666666667,0.239868193065873,"Trend"
"271",2012.5,0.237742703361189,"Trend"
"272",2012.58333333333,0.229592249976422,"Trend"
"273",2012.66666666667,0.221441796591655,"Trend"
"274",2012.75,0.213291343206887,"Trend"
"275",2012.83333333333,0.20514088982212,"Trend"
"276",2012.91666666667,0.196990436437353,"Trend"
"277",2013,0.188839983052585,"Trend"
"278",2013.08333333333,0.180689529667818,"Trend"
"279",2013.16666666667,0.17253907628305,"Trend"
"280",2013.25,0.164388622898283,"Trend"
"281",2013.33333333333,0.156238169513516,"Trend"
"282",2013.41666666667,0.148942712997002,"Trend"
"283",2013.5,0.141647256480489,"Trend"
"284",2013.58333333333,0.134351799963974,"Trend"
"285",2013.66666666667,0.127056343447461,"Trend"
"286",2013.75,0.119760886930947,"Trend"
